Site,Comment,Age,Location,Position
Twitter,"I don't really use it professionally, but it could be a good way to share your research to a wider audience. Also, it could be used to help explain more technical news items at a more understandable level for the majority of non-science people.",25 - 34,United States,PhD Student
Facebook,"As a government employee, I can be fired for using it professionally.",55 - 64,United States,Laboratory Director/Head
Facebook,"Facebook is totally inappropriate for professional interaction.  LinkedIn is preferred.  Or, really, just Google stalk me and send me an email directly.",25 - 34,United States,Staff Scientist
Facebook,I'm guessing its usefulness is on the rise - and thus will be more useful 5 years from now.,35 - 44,United States,Associate professor
Facebook,"The facebook conects me to researchers around the world, as well as to important editors of high impact journals.",25 - 34,Brazil,PhD Student
Facebook,Creates a discussion forum for topics of shared interest.  Allows for more in depth discussion concerning scientific progress and study details.,45 - 54,United States,President/CEO/Company Owner
Facebook,I am sure it is useful; its mainly a social media space to connect with social colleagues. Never thought of it as a research space.,25 - 34,South Africa,Lecturer
Facebook,"It is very useful as ""another way"" to keep contact with my students.",55 - 64,Finland,Professor
Facebook,"I am flat out teaching, I get little time for research so I am not connected electronically or otherwise in a research community",45 - 54,United Kingdom,Lecturer
Facebook,I have chosen not to use Facebook for any professional communication,45 - 54,Sweden,Professor
Facebook,My facebook page is mostly aimed at students.,45 - 54,Ireland,Lecturer
Facebook,"it's not that useful for academic networks. I use it for research, since the activists i know post interesting articles related to their work.",25 - 34,United States,Post-doctoral Fellow
Facebook,I use it mostly for my personal life.,55 - 64,United States,Professor
Facebook,"I think of Facebook as more of a social network, than a professional network.",35 - 44,United Kingdom,Lecturer
Facebook,"I could manage without it, but it gives me a feeling of having closer contact with members of my research network that I meet maybe once a year",25 - 34,Sweden,Associate professor
Facebook,I often use it to create research groups for my MSc students,45 - 54,Portugal,Head of Academic Department/Faculty
Facebook,Marketing and promoting own visibility,35 - 44,Uganda,Lecturer
Facebook,"As with all other forms of social media, it as as useful as you make it.",45 - 54,United States,PhD Student
Facebook,I don't use it professionally,65 or over,Turkey,Head of Academic Department/Faculty
Facebook,I don't use it for my professional life,35 - 44,Israel,PhD Student
Facebook,I think it will fade out of usage due to over-commercialization.,55 - 64,Norway,Professor
Facebook,"Not likely, I see it as a social medium.",45 - 54,United States,Associate professor
Facebook,"Facebook is not useful to me professionally. I use it to post about my profession because a) my work is a large part of my life, which I share on facebook and b) I see it as a kind of outreach, reporting the human and fun side of research to my social network, which consists mosly of lay people.",25 - 34,Netherlands,PhD Student
Facebook,More social than professional,55 - 64,Sweden,Lecturer
Facebook,"It keeps me in touch with my friends across the globe who share their interests and ideas with me. As a group member, I post comments to the group and groups members share their view with each other.",55 - 64,India,Head of Academic Department/Faculty
Facebook,little professional use/it is more for social networking,55 - 64,India,Professor
Facebook,"I use  Facebook to generally stay in contact.  I don't actively use it for professional reason, except staying connected with colleagues I have met through my research.",25 - 34,United States,Post-doctoral Fellow
Facebook,"Facebook is neither safe nor secure. It is hosted on servers overseas, and even private messages can be accessed and read by third parties. Facebook is bloated with junk and advertisements and not a very efficient way to organise professional communication. It's distracting to use Facebook during work, since people will start chatting about non-professional issues, or one's boss might think one is not working while using Facebook.",25 - 34,Germany,Post-doctoral Fellow
Facebook,Very useful to become informed about ongoing events,35 - 44,Germany,Professor
Facebook,"I believe it is not really all that useful, actually (at least here, in Spain)",35 - 44,Spain,Associate professor
Facebook,Known about other field research,55 - 64,Mexico,Professor
Facebook,"Pretty useless. I try to keep my Facebook predominantly personal, so for example I post when a paper I author is published, as many of my young peers are my Facebook friends.",35 - 44,United States,Principal Investigator
Facebook,"Great for building networks, relevant to young professionals.",55 - 64,South Africa,Professor
Academia.edu,I find it interesting to see which of my papers are being read and where,35 - 44,United States,Post-doctoral Fellow
Academia.edu,I can't see it's usefulness right now.,35 - 44,United States,Research Scientist
Academia.edu,It would be great if Academic.edu has an authorization to download those published articles but not only the Abstract.,45 - 54,Libya,PhD Student
Academia.edu,not in use long enough to know if redundant,65 or over,United States,Professor
Academia.edu,"I think Academia.edu to be more successful, more scientists should actually use it. It has been trumped by ResearchGate I think.",25 - 34,Australia,Post-doctoral Fellow
Academia.edu,I think Academia can be very useful but now I am mainly focus in another research link (Researchgate) and I don«t have time for managing several link. Also I am not sure how legal or not is to upload-sharing publications in these web pages.,35 - 44,Japan,Staff Scientist
Academia.edu,Mainly I used Academia.edu to look for my other colleagues and their research,25 - 34,Singapore,Technician/Research Assistant
Academia.edu,It is good to have for interaction with the scientific community.,55 - 64,India,Research Scientist
Academia.edu,It seems that interest in using Academia.edu is disappearing and people are moving to ResearchGate quickly,35 - 44,Sweden,Associate professor
Academia.edu,"I think Academia is very useful for my professional life. However, by comparing the view and download rates with those of my profile at ResearchGate I come to the conclusion that the latter is much better known among researchers than Academia.",55 - 64,Austria,Research Director/VP of Research
Academia.edu,helpful to make international contacts,55 - 64,United Kingdom,Lecturer
Academia.edu,Has lead to invites to referee papers/external assessments,45 - 54,United Kingdom,Post-doctoral Fellow
Academia.edu,It seems to be just a place to list my research outputs.,45 - 54,China,Associate professor
Academia.edu,I like the site a lot.  I have been able to post old papers which otherwise would be unavailable to most people.,55 - 64,United States,Professor
Academia.edu,I occasionally find something of interest,65 or over,Turkey,Head of Academic Department/Faculty
Academia.edu,"Nice site indeed, but amount must for some other documents to access",25 - 34,India,PhD Student
Academia.edu,"More useful if transfer of identity between different institutions was better. Besides my current profile, I have an old profile from when I was doing my PhD that I cannot delete, and it confuses users.",25 - 34,United Kingdom,Lecturer
Academia.edu,"Gives visibility to my work, updates on colleagues and it's fun to see the metrics and the visits from different countries",45 - 54,Spain,Associate professor
Academia.edu,INTERESTING SOURCE OF INFORMATION,65 or over,Mexico,Professor
Academia.edu,I found useful and helpful material for my research.,45 - 54,Argentina,Socio legal researcher
Academia.edu,"Very useful, especially in countries where literature is not easily available.",45 - 54,Mexico,Laboratory Director/Head
Academia.edu,"I find it very useful, but having unordered followers lists is not so convenient for some aspects.",45 - 54,Japan,Professor
Academia.edu,It is a rewarding site.,45 - 54,India,Professor
Academia.edu,The most interesting port of this site is others posting their articles for dissemination.,35 - 44,Japan,Associate professor
Academia.edu,Copyright issues prevent a lot of downloading,45 - 54,United Kingdom,Lecturer
Academia.edu,"It would be particularly useful to post adds for jobs and post-docs, but it is not free, and it cannot be charged on research funds.",45 - 54,Italy,Professor
Academia.edu,It keeps me updated regarding recent research in my fields of interest. It also provides international visibility for my research papers.,35 - 44,Romania,Associate professor
Academia.edu,"I don't post much, but it is useful for networking.",35 - 44,United States,Associate professor
Academia.edu,"I find it very useful, especially in those moments when I am in Romania and have no access to good libraries or databases. Then, I ask the authors who interest me to send me their papers.",45 - 54,Romania,Research Scientist
Academia.edu,To publish my work and to find interesting papers,25 - 34,Spain,PhD Student
Academia.edu,I find Academia.edu very useful. Thanks to it people regularly find my papers and I have been contacted in relation to my research several times. It also substitues a personal research website which my institution does not provide.,25 - 34,Slovakia,Assistant Professor
Academia.edu,I receive useful links and articles which I find useful.,45 - 54,United Kingdom,Inspector of schools
Academia.edu,I think it is really valuable and not sure what I would do without it as it is the only space where I am in charge of what content I put up there.,35 - 44,United Kingdom,Senior Lecturer
Academia.edu,Do not find time to explore such opportunities,45 - 54,India,Professor
Academia.edu,"I don't use it more because I'm concerned about copyright for my research.  I don't own the copyright on my published work, and I don't write detailed notes for conference papers so there is nothing to post there.",35 - 44,Canada,Associate professor
ReseachGate,I am an in an institution with access to many journals. For me researchgate is there to help researchers from universities without access to journals and need to ask for reprints to papers that I have published that are not open source.   Initially I would read blogs on experimental questions and I would give input. Many of the times I did this what I read from other people was technically incorrect. After so many times of seeing this I stopped participating. Google searches for methods is far better.,35 - 44,United States,Post-doctoral Fellow
ReseachGate,"I was curious as to if this could become a ""scientific facebook"" or something, but I've generally been underwhelmed at its usefulness.",45 - 54,United States,Senior Scientist
ReseachGate,"I use it for work and my research more than facebook. Facebook I use more for social, friends and family, not so much for work.",25 - 34,United States,Research Scientist
ReseachGate,Metrics may have some interest.,45 - 54,United States,Research Scientist
ReseachGate,"It keeps track of publications from my colleagues. However, their update system doesn't work very well, and there are multiple updates that are irrelevant. If it worked, and somehow showed only recently published work, that would be best",25 - 34,United States,Post-doctoral Fellow
ReseachGate,Useful for sharing and discovering work.,35 - 44,United States,Associate professor
ReseachGate,It's easier to keep my ResearchGate page up to date than my lab webpage.  Sometimes I can find other people's work there more easily than through my university library (book chapters particularly).,55 - 64,United States,Professor
ReseachGate,"Broader dissemination of work, can see who is interested in my work",25 - 34,United States,Assistant Professor
ReseachGate,"It is quite useless. The ways they assign the ""research score"" and ""impact factor"" are ridiculous and seem unfair. My most impactful articles (with plenty of citations) come up as zero citations. They do not consider books and book chapters and ""impactful"" at all.",55 - 64,United States,Head of Academic Department/Faculty
ReseachGate,I like being able to find recent papers and follow researchers in my area.,35 - 44,United States,Associate professor
ReseachGate,"Because of the eclectic nature of the participants, questions often challenge the foundations of my field, so responses require detailed critical thought on my part. Furthermore, since there are few on campus who are conversant in my field, it allows me contact with interested parties.",65 or over,United States,Teacher
ReseachGate,Could potentially be useful. Not clear how it differs from sites already using like LinkedIn.,25 - 34,United States,Post-doctoral Fellow
ReseachGate,"It's the LinkedIn of the science world.  Not good, not bad. Very good for finding colleagues.",55 - 64,United States,Professor
ReseachGate,Excellent resource,65 or over,United States,Associate professor
ReseachGate,It helps me to be immediately informed on publications in my field of expertise.,65 or over,United States,Senior Scientist
ReseachGate,I am new to ResearhGate. I find it very rewarding that others are accessing my publication.,45 - 54,United States,"epidemiologist, disease surveillance"
ReseachGate,"I sometimes find interesting links to work in my field- some of the questions posted are interesting. The metrics are a bit strange- if I answer lots  of questions my ""score"" goes up...who has time for that",55 - 64,United States,Principal Investigator
ReseachGate,"I had hoped it would be a better resource for my immediate community, but they and I don't take advantage, so it's not overly useful.",45 - 54,United States,Professor
ReseachGate,"I find it quite useful, particularly in documenting the value and use of my research.",55 - 64,United States,Research Scientist
ReseachGate,The metrics that ResearchGate uses are perhaps the most asinine thing I've ever seen. But it's a nice way to have a CV online and be updated of other researchers' publications.,25 - 34,Australia,PhD Student
ReseachGate,"As I am currently seeking a position, I see Researchgate as a good way to make myself ""visible"" online",35 - 44,New Zealand,Post-doctoral Fellow
ReseachGate,"It's good, but I can't readily upload files of my work for download - need to put in link to my institution's e-print repository instead",55 - 64,Australia,Associate professor
ReseachGate,Limited use -- but helpful for provision of full text articles.,55 - 64,Australia,Medical Professional/Doctor
ReseachGate,I think is very important to have a social network for professionals dedicated to research and researcher's needs and interests. I use LinkedIn as well but it's not very research friendly. I think ResearchGate is a great initiative.,25 - 34,Australia,Post-doctoral Fellow
ReseachGate,"ResearchGate is useful, but more so for keeping a running list of publications with appropriate metrics measured",25 - 34,Australia,Senior Scientist
ReseachGate,"May be ok, but I would rather deal with colleagues and potential colleagues by direct e-mail contact - not through such an intermediary service",65 or over,Australia,Professor
ReseachGate,"Great for networking, discussion forums/topics",35 - 44,Australia,PhD Student
ReseachGate,"I note that some of my respected colleagues use it actively. I have responded to email prompts to post some of my work there, but have not been very active in this regard. Don't really know what to use ResearchGate for nor what to expect.  I am busy with my work, so engaging with it is something of a distraction.",55 - 64,Ghana,Senior Scientist
LinkedIn,Good for connecting with other researchers.,45 - 54,United Kingdom,Senior Scientist
LinkedIn,I use linkedin purely for the job opportunities and professional profile.,25 - 34,United Kingdom,Post-doctoral Fellow
LinkedIn,I do not believe it is useful. Even with a list of contacts most correspondence is done outside of linkedin,55 - 64,United Kingdom,Head of Academic Department/Faculty
LinkedIn,the university was helping our group recruit a difficult post and required me to 'fill in a full profile' in order for them to approach potential applicants,55 - 64,United Kingdom,Laboratory Director/Head
LinkedIn,It would be more useful if I bothered to use it properly,55 - 64,United Kingdom,Professor
LinkedIn,"I am concerned that linking to people of a poor reputation would reflect poorly on me, and that other people may link to me in order to benefit from my good reputation.",35 - 44,United Kingdom,Post-doctoral Fellow
LinkedIn,"Useful for linking to other professionals who may be able to help progress one's work and job opportunities. I am involved in defining and influencing health policy, so finding individuals in organisations also involved in this is very useful.",55 - 64,United Kingdom,Laboratory Director/Head
LinkedIn,"Linked in seems to be more useful for conbsultants who want to advertise their skills, and isn't a good source of research publications of research-oriented discussions (which is why I prefer researcGate.",55 - 64,United Kingdom,Senior Scientist
LinkedIn,seems business orientated,55 - 64,United Kingdom,Lecturer
LinkedIn,OK - but am not as wild about it as some people I know.,55 - 64,United Kingdom,Lecturer
LinkedIn,It is a bit incestual and I also get irritated by unrelated requests from u/g students to be connected,55 - 64,United Kingdom,forensic psychologist
LinkedIn,I've got jobs through LinkedIn and I know people look me up on it.,55 - 64,United Kingdom,Criminal Justice consultant
LinkedIn,"On all of these questions:  I much prefer to look for information directly from websites of organisations/individuals/topics, rather than general ones such as twitter or linkedin.  I see no point in specialised search facilities when the normal ones work, and produce some interesting non-academic work as well as the academic.  I do not like the fact that some people are retreating into closed environments such as Facebook",65 or over,United Kingdom,senior researcher
LinkedIn,"I do not use the discusison forusm at the moment as the ones I subscribe to are unselective and chaotic, and I am not sure what could happen to the content.  I use it to keep in touch with people I am unable to contact face to face, and to follow their career trajectories, and so people can find me.",45 - 54,United Kingdom,Lecturer
LinkedIn,"I tend to decreasingly use of LinkedIn with time, now that I prefer ResearchGate.",35 - 44,Brazil,Research Scientist
LinkedIn,"LinkedIn has been very useful, helping get/keep in touch with colleagues that I have lost contact with over the years. It has also helped me contact individuals outside my field.",35 - 44,Brazil,Professor
LinkedIn,"Very useful to track trends in my research interests, as well as find professional employment offers or see what is out there in the job market.",35 - 44,South Africa,Professor
LinkedIn,The operation should be more user-friendly.,25 - 34,China,Associate professor
LinkedIn,I don't know if I've ever seen an interesting job in my area on this site.,45 - 54,China,Associate professor
LinkedIn,Its very useful for searching and contacting professional all over the world,35 - 44,India,Director
LinkedIn,"LinkedIn was incredibly annoying until I figured out how to turn off all of the email alerts. Now I only see contact requests, etc. when I intentionally visit the website.",35 - 44,Japan,Associate professor
LinkedIn,This enables me to keep in touch with many of my earlier colleagues who are in different fields now,65 or over,Singapore,Laboratory Director/Head
Mendeley,"Mendeley, primarily, still is a reference manager for me. The social component is less important (but occasional useful to discover interesting papers).",35 - 44,Canada,Research Scientist
Mendeley,Reference management only,25 - 34,Canada,Student (Other)
Mendeley,"As a social network I am a bit sceptical, but as a reference manager, it fits the bill for my students.",45 - 54,Canada,Associate professor
Mendeley,"For me Mendeley is not really a social network, it is rather a great device to organize all my papers.",35 - 44,Mexico,Professor
Mendeley,I mostly use it to organize research papers I am reading/have read.,35 - 44,United States,Research Scientist
Mendeley,The reference manager desktop software is more useful than the online part. Particularly because the API is so poorly designed and the company's own focus on the desktop side has made the web side frequently ignored by serious researchers (e.g. compared to RG).,25 - 34,United States,Post-doctoral Fellow
Mendeley,I primarily use Mendeley for reference management; its social features are more useful in connection with better-trafficked networks like Twitter and Facebook.,25 - 34,United States,Post-doctoral Fellow
Mendeley,FAIRLY USEFUL AS A DOCUMENTS CLEARINGHOUSE FOR LAB GROUP.,25 - 34,United States,Post-doctoral Fellow
Mendeley,"I use it as a literature management tool and to share articles with students. Generaly a good tool, they need to work on their bibtex export capcabilities.",35 - 44,United States,Associate professor
Mendeley,I mostly use the desktop client for research paper management and citations.,25 - 34,United States,Principal Investigator
Mendeley,Very useful in organizing literature,25 - 34,United States,Student (Other)
Mendeley,I do not use Mendeley as a social network. I use it as a reference manager.,35 - 44,United States,Research Scientist
Mendeley,I mostly use it as a citation software. I've used it for teaching classes as a way to pool resources.,25 - 34,United States,Post-doctoral Fellow
Mendeley,"I use Mendeley only in as much as it is an effective, free means of managing citations. I do not find much value in Mendeley's networking capabilities.",25 - 34,United States,PhD Student
Mendeley,I use Mendeley only as a scientific paper browser and source,25 - 34,United States,Research Scientist
Mendeley,"I didn't know Mendeley had a networking feature. I just use it to organize and search through papers I download. Also, it works well for citations in papers that I am currently writing.",25 - 34,United States,PhD Student
Mendeley,Great for constructing bibliographies.  I use it because my students use it and I want to be on the same page as them.,55 - 64,United States,Professor
Mendeley,Fantastic product. Tracks my pdf library across computers.,35 - 44,United States,Research Scientist
Mendeley,"I think it a good resource. I have only been using it for about 2 weeks, but it has been useful thus far.",18 - 24,United States,PhD Student
Mendeley,Very important to organizing references,35 - 44,United States,Senior Scientist
Mendeley,Incredibly useful reference manager with synching/etc,35 - 44,United States,Principal Investigator
Mendeley,"Mendeley, its a team work tool to me. its not so much about reaching out, its more about sharing litterature",35 - 44,Denmark,Associate professor
Mendeley,I use Mendeley mainly for managing bibliographie,55 - 64,France,Professor
Mendeley,Very useful to include a reference manager with social networking functions.,25 - 34,Germany,Lecturer
Mendeley,"Actually, I mainly use the reference manager of Mendeley.",25 - 34,Netherlands,PhD Student
Mendeley,it is an useful database to keep my refernces and organize them,55 - 64,Romania,Professor
Mendeley,Quite useful to keep bibliographic references and share them with other members of the research group (clean through the web cloud and the desktop tool). Their easy-to-install pluggins to embed the bibliography into my manuscripts are also appreciated.,35 - 44,Spain,Associate professor
Mendeley,Tool for getting my bibliography updated,25 - 34,Spain,Teacher
Mendeley,As reference manager it is very good,35 - 44,Sweden,Associate professor
Mendeley,Useful to handle papers and references,45 - 54,Sweden,Professor
Mendeley,Can be useful especially in exploring the field around a selected paper.,45 - 54,Sweden,Research Scientist
Mendeley,Mendeley is very useful to me because I used the Mendeley desktop and papership apps that allow me to have my papers everywhere I go.,25 - 34,United Kingdom,Post-doctoral Fellow
Mendeley,"I use Mendeley as a reference manager, but rarely use it for social networking purposes.",35 - 44,United Kingdom,Post-doctoral Fellow
Mendeley,I mainly use the desktop reference manager and am not interested in its website beyond cloud backup.,25 - 34,United Kingdom,Lecturer
Mendeley,"It is very useful as a reference library, I do not make use of the social network features.",25 - 34,Australia,Lecturer
Mendeley,As a good reference manager.,45 - 54,India,Professor
Mendeley,"it is very useful as a citing tools, and not to anything else",25 - 34,Israel,Post-doctoral Fellow
